After Dark ,Haruki Murakami,N,Y,F
Age of Shiva,Manil Suri,N,Y,F
American Chinatown,Bonnie Tsui,Y,Y,F
An Artist of the Floating World,Kazuo Ishiguro,N,Y,F
Angela’s Ashes,Frank McCourt,N,N,F
Apple Tree Yard,Louise Doughty,Y,N,F
At the Mountains of Madness,H.P. Lovecraft,N,N,F
Atonement ,Ian McEwan,N,N,F
Ax,Donald E Westlake,N,N,F
Basket Case,Carl Hiaasen,N,N,F
Bleak House,Charles Dickens,N,N,F
Blindness,Jose Saramago,N,Y,F
Brideshead Revisited,Evelyn Waugh,F,N,F
Cain,Jose Saramago,N,Y,F
Carthage,Joyce Carol Oates,Y,N,F
china rich girlfriend ,kevin kwan,N,y,F
Chronicle of a Death Foretold,Gabriel Garcia Marquez,n,Y,F
Cities of the Plain,Cormac McCarthy,N,N,F
City of Devi,Manil Suri,N,Y,F
Cloud Atlas,David Mitchell,N,N,F
Colorless Tsukuru Tazaki,Haruki Murakami,N,Y,F
Contact,Carl Sagan,N,N,F
crime and punishment,Fyodor Dostoyevsky,n,n,F
Dance Dance Dance,Haruki Murakami,N,Y,F
Daniel Deronda,George Eliot,y,n,F
Dark Places,Gillian Flynn,Y,N,F
dear life,alice munro,Y,N,F
Death of Vishnu,Manil Suri,N,Y,F
Delta of Venus,Anais Nin,Y,N,F
Diamond Dust,Anita Desai,Y,Y,F
Dirk Gently’s Holistic Detective Agency,Douglas Adams,N,N,F
Don QUixote,Miguel de Cervantes,N,Y,F
Don't Look Now,Daphne du Maurier,Y,N,F
Double Whammy,Carl Hiaasen,N,N,F
Enduring Love,Ian McEwan,N,N,F
Ever After of Ashwin Rao,Padma Viswanathan,F,Y,F
Everything Is Illuminated ,Jonathan Safran Foer,N,N,F
Fantomas,Marcel Allain & Pierre Souvestre,N,N,F
"Farewell, my Lovely",Raymond Chandler,N,N,F
For Matrimonial Purposes,Kavita Daswani,Y,Y,F
Foundation,Isaac Asimov,N,N,F
Freedom,Jonathan Franzen,N,N,F
Fury,Salman Rushdie,N,Y,F
Genesis,Anonymous,N,N,f
Great Expectations,Charles Dickens,N,N,F
Hardboiled Wonderland and the End of the World,Haruki Murakami,N,Y,F
Haroun and the Sea of Stories,Salman Rushdie,N,Y,F
Heart of Darkness,Joseph Conrad,N,N,F
Heart-Shaped Box,Joe Hill,N,N,F
Heft,Liz MOore,Y,N,F
House of Incest,Anais Nin,Y,N,F
House of Leaves,mark z Danielewski,N,N,F
How to be Alone,Jonathan Franzen,N,N,F
hymn to demeter,Anonymous,N,n,f
"I, Robot",Isaac Asimov,N,N,F
If on a Winter's Night a Traveler ,Italo Calvino,N,N,F
Imaginary Homelands,Salman Rushdie,N,Y,F
In One Person,John Irving,N,N,F
In the Night Season,Richard Bausch,N,N,F
invisible cities,Italo Calvino,N,N,F
Invisible Man,Ralph Ellison,N,N,F
Jack of Spades,Joyce Carol Oates,Y,N,F
Job,Anonymous,N,n,f
Joseph Anton,Salman Rushdie,N,Y,F
Journey to Ithaca,Anita Desai,Y,Y,F
Kazuo Ishiguro,Kazuo Ishiguro,N,Y,F
Kick Ass,Carl Hiaasen,N,N,F
Lady Chatterley’s Lover,D.H. Lawrence,N,N,F
Last Night in Twisted River,John Irving,N,N,F
Less Than Zero,Brett Easton Ellis,N,N,F
"Lovely, Dark, Deep",Joyce Carol Oates,Y,N,F
Loving Frank ,Nancy Horan,Y,N,F
Luckiest Girl Alive,Jessica Knoll,Y,N,F
Luka and the Fire of Life,Salman Rushdie,N,Y,F
Luke/John,Anonymous,N,n,f
Lysistrate,Aristophanes,N,N,F
Middlemarch,George Eliot,y,n,F
Middlesex ,Jeffrey Eugenides,N,N,F
Midnight's Children,Salman Rushdie,N,Y,F
Mystic River,Dennis Lehane,N,N,F
Native Tongue,Carl Hiaasen,N,N,F
Nature Girl,Carl Hiaasen,N,N,F
Nausea,Jean-Paul Sartre,N,N,F
Neuromancer,William Gibson,N,N,f
Never Let Me Go,Kazuo Ishiguro,N,Y,F
No Country for Old Men,Cormac McCarthy,N,N,F
No Safe Place,Richard North Patterson,N,N,F
nobody is ever missing,catherine lacey,Y,N,F
Norwegian Wood,Haruki Murakami,N,Y,F
"Nostromo, a Tale of the Seaboard",Joseph Conrad,N,N,F
NW,Zadie Smith,Y,y,f
Oliver Twist,Charles Dickens,N,N,F
oresteia,Aeschylus,N,N,F
Oryx and Crake,Margaret Atwood,Y,Y,F
Our Man in Havana,Graham Greene,N,N,F
Paradise Lost,John Milton,N,N,F
Possession A Romance,A.S. Byatt,Y,N,F
Queen of Babble Gets Hitched,Meg Cabot,Y,N,F
Red Harvest,Dashiell Hammett,N,N,F
rendezvous with rama,Arthur C. Clarke,N,N,F
Revolutionary road ,Richard yates,N,N,F
Royal Wedding,Meg Cabot,Y,N,F
runaway,alice munro,Y,N,F
Shadow Tag,Louise Erdich,Y,N,F
Shame,Salman Rushdie,N,Y,F
Sharp Objects,Gillian Flynn,Y,N,F
Siddhartha,Hermann Hesse,N,N,F
Skinny Dip,Carl Hiaasen,N,N,F
Smiley’s People,John Le Carre,N,N,F
Son’s & Lovers,D.H. Lawrence,N,N,F
Steppenwolf,Hermann Hesse,N,N,F
Story of O,Anne Desclos,Y,N,F
Super Spy ,Matt Kindt,N,N,F
The Accursed,Joyce Carol Oates,Y,N,F
The Alchemist,Paulo Coelho,N,Y,F
The Amazing Adventures of Kavalier & Clay,Michael Chabon,N,N,F
the awakening,kate chopin,Y,N,F
The Big Clock ,Kenneth Fearing,N,N,F
The Cave,Jose Saramago,N,Y,F
The Cement Garden,Ian McEwan,N,N,F
The Collective,Don Lee,N,Y,F
The Crossing,Cormac McCarthy,N,N,F
The Cuckoo’s Calling,Robert Galbraith,Y,N,F
The Discoverers,Daniel J. Boorstin,N,N,F
The Divine Comedy,Dante,N,N,F
The English Patient,Michael ONdaatje,N,Y,F
The flamethrower,Rachel kushner,Y,Y,F
the god of small things,arundhati roy,Y,Y,F
The Goldfinch,Donna Tartt,Y,N,F
The Graveyard Book,Neil Gaiman,N,N,F
The Hours,Michael Cunningham,N,N,F
The Ignored,Bentley Little,N,N,F
The Iliad,Homer,N,N,F
The Illusionist,Dinitia Smith,Y,N,F
The Inheritance of Loss,Kiran Desai,Y,Y,F
The Instructions,Adam Levin,N,N,F
the interestings,meg wolitzer,Y,N,F
The Lake,Banana Yoshimoto,Y,Y,F
The last magazine,Michael Hastings,N,N,F
The Last Samurai,Helen DeWitt,Y,N,F
The Liars’ Club,Mary Karr,Y,N,F
The Lonely Polygamist,Brady Udall,N,N,F
The Long Goodbye,Raymond Chandler,N,N,F
The Lost Landscape,Joyce Carol Oates,Y,N,F
the love of a good woman,alice munro,Y,N,F
The Martian: A Novel ,Andy Weir,N,N,F
The Moor’s Last Sigh,Salman Rushdie,N,Y,F
The Odyssey,Homer,N,N,F
The Poisonwood Bible,Barabara Kingsolver,Y,N,F
The Power & The Glory,Graham Greene,N,N,F
The Remains of the Day,Kazuo Ishiguro,N,Y,F
The Road,Cormac McCarthy,N,N,F
The Rumor,Elin Hilderbrand,Y,N,F
The Runaway Jury,John Grisham,N,N,F
The Sacrifice,Joyce Carol Oates,Y,N,F
The Satanic Verses,Salman Rushdie,N,Y,F
The Silkworm,Robert Galbraith,Y,N,F
The Sputnik Sweetheart,Haruki Murakami,N,Y,F
The Spy Who Came In From the Cold,John Le Carre,N,N,F
The Story of an hour,kate chopin,Y,N,F
The Thin Man,Dashiell Hammett,N,N,F
The Toss of a Lemon,Padma Viswanathan,F,Y,F
The Trial,Franz Kafka,N,N,F
The Ultimate Hitchhiker’s Guide,Douglas Adams,N,N,F
the vacationers,emma straub,Y,N,F
The Village Bride of Beverly Hills,Kavita Daswani,Y,Y,F
The Wind-Up Bird Chronicle,Haruki Murakami,N,Y,F
Them,Joyce Carol Oates,Y,N,F
Tinker Tailor Soldier Spy,John Le Carre,N,N,F
too much happiness,alice munro,Y,N,F
Tow Years Eight Months and Twenty Eight Nights,Salman Rushdie,N,Y,F
Ulysses,James Joyce,N,N,F
Underworld,Don DeLillo,N,N,F
Veronika Decides to Die,Paulo Coelho,N,Y,F
Villette,Charlotte Bronte,Y,N,F
We Were the Mulvaneys,Joyce Carol Oates,Y,N,F
Werewolves in Their Youth,Michael Chabon,N,N,F
White Noise,Don DeLillo,N,N,F
Why Can't I Be You,Allie Larkin,Y,N,F
You Must Remember This,Joyce Carol Oates,Y,N,F
Zen and the Art of Motorcycle Maintenance,Robert M Pirsig,N,N,F
Zombie,Joyce Carol Oates,Y,N,F
A Better Man,Leah McLaren,Y,N,F
A Canticle for Leibowitz,Walter M. Miller,N,N,F
A Firing Offense,David Ignatius,N,N,F
A Gate at the Stairs,Lorrie Moore,Y,N,f
A House for Mr. Biswas,V.S. Naipaul,N,Y,f
A Patchwork Planet,Anne Tyler,Y,N,F
A Perfect Crime,Peter Abrahams,N,N,F
A Raisin in the sUN,lorraine hansberry,Y,Y,F
A River Runs Through It and Other Stories,Norman MacLean,N,N,f
A Short Guide to a Happy Life ,Anna Quindlen,Y,N,f
A Sight for Sore Eyes,Ruth Rendell,Y,N,F
A Suitable Boy,Vikram Seth,N,Y,F
A Tale for the Time Being,Ruth L. ozeki,Y,Y,F
All the Light we cannot see,Anthony Doerr,N,N,F
Among the Ten Thousand Things ,julia pierpont,Y,N,F
Ancient Shores,Jack McDevitt,N,N,F
Bed,Tao Lin,N,Y,F
Big Machine,Victor Lavalle,N,N,F
Book of Numbers,Joshua Cohen,N,N,F
Canopus in Argos,Doris Lessing,Y,N,F
Captain Freedom ,G. Xavier Robillard,n,N,F
Cathedral,Nelson DeMille,N,N,F
Charming Billy,Alice McDermott,Y,N,F
Citizens of No Place: An Architechtural Graphic Novel,Jiminez Lai,N,Y,F
Close Range: Wyoming Stories,Annie Proulx,Y,N,F
Concrete Island,J.G. Ballard,N,N,F
Deliverance ,James Dickey,N,N,F
Eeeee Eee Eeee,Tao Lin,N,Y,F
Even Cowgirls Get the Blues,Tom Robbins,N,n,F
Faust,Johann Wolfgang von Goethe,N,N,F
Foucault’s Pendulum,Umberto Eco,N,n,F
Freedomland,Richard Price,N,N,F
Furnace,Muriel Gray,Y,N,F
Gilead,Marilynne Robinson,Y,N,F
go tell it on the mountain,james baldwin,N,Y,F
Golden Notebook,Doris Lessing,Y,N,F
Good Omens,Neil Gaiman & Terry Pratchett,N,N,F
Gravity,Tess Gerritsen,Y,Y,F
Gravity's Rainbow,Thomas Pynchon,N,n,F
Hannibal,Thomas Harris,N,n,F
How to build a girl,caitlin moran,Y,N,F
How to Get Filthy Rich in Rising Asia,Mohsin Hamid,N,Y,F
I Am the Messenger,Markus Zusak,N,N,F
I Hotel,Karen Tei Yamashita,Y,Y,F
In the Lake of the Woods,Tim O’Brien,N,n,F
In the woods,tana french,Y,N,F
Lights Out,Peter Abrahams,N,N,F
Pressure Drop,Peter Abrahams,N,N,F
Revolution #9,Peter Abrahams,N,N,F
Jonathan Strange & Mr. Norrell,Susanna Clarke,Y,N,F
King Lear,WIlliam Shakespeare,N,N,F
Mason & Dixon,Thomas Pynchon,N,n,F
Oedipus Rex,Sophocles,N,N,F
Richard yates,Tao Lin,N,Y,F
The Aenied,Virgil,N,N,F
The Crying of Lot 49,Thomas Pynchon,N,n,F
The Shipping News,Annie Proulx,Y,N,F
V,Thomas Pynchon,N,n,F
War and Peace,Leo Tolstoy,N,N,F
Invisible ,Paul Auster,N,N,F
Jim the Boy,Tony Earley,N,n,F
Latitude Zero,Windsor Chorlton,N,N,F
Life A Users Manual ,Georges Perec,n,n,F
Livability ,Jon Raymond,N,N,F
Lives of the Monster Dogs,Kirsten Bakis,N,N,F
makers,Chris Anderson,N,N,N
men explain things to me,rebecca solnit,F,N,N
Mistakes were made (but not by me),Carol Tavris &Elliot Aronson,Y,N,N
Mobius Dick,Andrew Crumey,N,N,f
Mohawk,Richard Russo,N,N,f
Moon and Sixpense,W. Somerset Maugham,N,N,f
Murder in the Museum of Man ,Alfred Alcorn,N,N,f
native son,richard wright,N,Y,f
Night and the City,Gerald Kersh,n,n,f
no name in the street,james baldwin,N,Y,n
No One Belongs Here More than You,Miranda July,Y,N,F
notes of a native son,james baldwin,N,Y,N
One True Thing,Anna Quindlen,Y,N,F
Pale Fire ,Vladimir Nabokov,N,N,F
Plainsong,Kent Haruf,N,N,F
Poor Charlie’s Almanack,Peter D. Kaufman &Ed Wexler,N,N,n
Pretty Good Number One,Matthew Amster-Burton,N,N,n
Quiet,Susan Cain,Y,N,n
Reservation Road,John Burnham Schwartz,N,N,f
self-help inc,Micki McGee,Y,Y,n
Shadow and Claw,Gene Wolf,n,n,f
Shadow of the Wind,Carlos Ruiz Zafon,N,Y,f
Showstopper!,G. Pascal Zachary,N,n,n
sister outsider,audre lorde,Y,Y,n
Situation and the story,Vivian Gornick,Y,Y,N
Smilla’s Sense of Snow,Peter Hoeg,N,N,F
Song of Solomon,Toni MOrrison,Y,Y,F
Still Life With Woodpecker,Tom Robbins,N,n,F
Survivor,Tabitha King,Y,N,F
Swimming Home,Deborah Levy,Y,N,F
Sword and Citadel,Gene Wolf,n,n,F
The Art of Fielding,Chad Harbach,N,N,F
The Art of Stillness: Adventures in Going Nowhere,Pico Iyer,N,Y,N
The Ask ,Sam Lipsyte,n,n,F
The Assistant,Bernard Malamud,N,N,f
the bell jar,sylvia plath,Y,N,F
the bluest eye,toni morrison,Y,Y,F
No Quarter: The Battle of the Crater,Richard Slotkin,N,N,N
The Dante Club,Matthew Pearl,N,N,F
The Decameron,Boccaccio,N,N,F
The Devil’s Own Work,Alan Judd,N,N,n
The Dick Gibson Show,Stanley Elkin,N,N,F
The Divers Clothes Lie Empty,Vendela Vida,N,Y,F
The Egyptian,Mika Toimi Waltari,N,Y,F
The Elegance of the Hedgehog,Muriel Barbery,Y,Y,F
The English Major ,Jim Harrison,N,N,F
The Eye in the Door,Pat Barker,Y,N,F
The Family Fang ,Kevin Wilson,N,N,F
The Fifties,David Halberstam,N,N,n
the fire next time,james baldwin,N,Y,n
The Ghost Road,Pat Barker,Y,N,F
The Girl in the Road,Monica Byrne,Y,N,F
The Good Spy: The Life and Death of Robert Ames,Kai Bird,N,N,N
the great work of your life,Stephen Cope,N,N,N
The Harder They Come,T. C. Boyle,N,N,F
The HIstories,Herodotus,N,N,F
The Housekeeper & the Professor,Yoko Ogawa,Y,Y,f
The Karma of Brown Folk,Vijay Prashad,N,Y,n
The Lessons of History,Will Durant & Ariel Durant,Y,N,N
The Name of the Rose,Umberto Eco,N,N,F
The Poet,Michael Connelly,N,N,F
The Razor’s Edge,W. Somerset Maugham,N,N,F
The Reason I Jump: The Inner Voice of a Thirteen-Year-Old Boy with Autism ,Naoki Higashida,N,Y,N
The Redbreast,Jo Nesbo,N,N,f
the rise and fall of great powers,tom rachman,N,n,n
The Savage Detectives ,Roberto Bolano,N,Y,f
The second sex,Simone de beauvoir,F,N,n
The Sheltering Sky,Paul Bowles,N,N,f
The Shia Revival: How Conflicts within Islam Will Shape the Future,Vali Nasr,N,Y,n
The Silent Wife,A.S.A. Harrison,Y,N,n
The Souls of Black Folk,W.E.B. Du Bois,N,Y,N
The Speed Queen,Stewart O’Nan,N,N,F
The Storied Life of A.j. Fikry,Gabrielle Zevin,Y,Y,F
The White Tiger,Aravind Adiga,N,Y,f
The Woman in White,Wilkie Collins,N,N,f
The Women,T. C. Boyle,N,N,f
There Is A River: The Black Struggle for Freedom in America,Vincent Harding,N,Y,n
thieves of manhattan,Adam Langer,N,N,f
This Earth of Mankind ,Pramoedya Ananta Toer,N,Y,f
Three Guineas,Virginia Woolf,Y,N,N
Through the Arc of the Rainforest,Karen Tei Yamashita,Y,Y,f
To the Lighthouse,Virginia Woolf,Y,N,F
we should all be feminists,chimamanda ngozi adichie,Y,Y,N
When Paris Went Dark,Ronald C. Rosbottom,N,N,N
Where I’m Calling From,Raymond Carver,N,N,F
White Apples,Jonathan Carroll,N,N,F
who says elephants can't dance?,Louis V. Gerstner Jr.,N,N,N
Why Sinatra Matters,Pete Hamill,N,N,N
why so slow,virginia valian,Y,N,N
A Rage in Harlem,Chester B. Himes,n,y,F
Slouching Towards Bethlehem,Joan Didion,y,N,F
The Member of the Wedding,Carson McCullers,y,n,f
dracula,bram stoker,n,n,f
The Human Comedy,William Saroyan,n,n,f
Asleep,Banana Yoshimoto,y,y,F
Amrita,Banana Yoshimoto,y,y,F
Death in Midsummer and Other Stories,Yukio Mishima,y,y,F
The Lover,Marguerite Duras,y,n,F
Essays in Idleness and Hôjôki," Yoshida Kenkō & Kamo no Chōmei,",n,y,n
Days of Obligation: An Argument with my Mexican Father,Richard Rodriguez,n,Y,n
Hunger of Memory: Th Education of Richard Rodriguez,Richard Rodriguez,n,Y,n
What Is History?,Edward Carr,n,n,n
Can Man Be Modified?,Jean Rostand,n,n,n
THe Insect World,J. Henri Fabre,n,n,n
The Art of Scientific Investigation,William I. Beveridge,n,n,n
Power without Property,"Adolph A. Berle, Jr",n,n,n
10% Happier,Dan harris,n,n,n
Mindless Eating,Brian Wansink,n,n,n
Through the Language Glass,Guy Deutscher,n,n,n
"Breaking the Mold: Men, Women, and Time in the Corporate World",Lotte Bailyn,y,n,n
"Scatter, Adapt, and Remember: How Humans Will Survive a Mass Extinction ",Annalee Newitz,y,n,n
Infested: How the Bed Bug Infiltrated Our Bedrooms and Took Over the World,Brooke Borel,y,n,n
Gulp: Adventures on the Alimentary Canal,Mary Roach,y,n,n
Stiff: The Curious Lives of Human Cadavers,Mary Roach,y,n,n
Spook: Science Tackles the Afterlife,Mary Roach,y,n,n
Bonk: The Curious Coupling of Science and Sex,Mary Roach,y,n,n
Life on Mars,Tracy K. Smith,y,n,n
A Working Theory of Love,Scott Hutchins,n,n,f
Cracking the Code,yushmann Khurana and Tahira Kashyap,N,Y,N
Half of a Yellow Sun,Chimamanda Ngozi Adichie,Y,y,F
